entry,benchmark,scope,performance,family,generation,params,release
Gemma 1.1 2B IT [Instruction-tuned (IT)],MATH level 5,epoch,0.0181,Gemma,Gemma 1,2.0,2024-04
Gemma 1.1 2B IT [Instruction-tuned (IT)],OLLv2: BBH,own,0.058600000000000006,Gemma,Gemma 1,2.0,2024-04
Gemma 1.1 2B IT [Instruction-tuned (IT)],OLLv2: GPQA,own,0.025699999999999997,Gemma,Gemma 1,2.0,2024-04
Gemma 1.1 2B IT [Instruction-tuned (IT)],OLLv2: IFEval,own,0.30670000000000003,Gemma,Gemma 1,2.0,2024-04
Gemma 1.1 2B IT [Instruction-tuned (IT)],OLLv2: MMLU-PRO,own,0.0537,Gemma,Gemma 1,2.0,2024-04
Gemma 1.1 2B IT [Instruction-tuned (IT)],OLLv2: MUSR,own,0.0202,Gemma,Gemma 1,2.0,2024-04
Gemma 1.1 7B IT [Instruction-tuned (IT)],ARC AI2,epoch,0.4676,Gemma,Gemma 1,7.0,2024-04
Gemma 1.1 7B IT [Instruction-tuned (IT)],GSM8K,epoch,0.4299,Gemma,Gemma 1,7.0,2024-04
Gemma 1.1 7B IT [Instruction-tuned (IT)],HellaSwag,epoch,0.6818666666666666,Gemma,Gemma 1,7.0,2024-04
Gemma 1.1 7B IT [Instruction-tuned (IT)],MATH level 5,epoch,0.049100000000000005,Gemma,Gemma 1,7.0,2024-04
Gemma 1.1 7B IT [Instruction-tuned (IT)],MMLU,epoch,0.47893333333333327,Gemma,Gemma 1,7.0,2024-04
Gemma 1.1 7B IT [Instruction-tuned (IT)],OLLv1: TruthfulQA,own,0.5074000000000001,Gemma,Gemma 1,7.0,2024-04
Gemma 1.1 7B IT [Instruction-tuned (IT)],OLLv2: BBH,own,0.1593,Gemma,Gemma 1,7.0,2024-04
Gemma 1.1 7B IT [Instruction-tuned (IT)],OLLv2: GPQA,own,0.0582,Gemma,Gemma 1,7.0,2024-04
Gemma 1.1 7B IT [Instruction-tuned (IT)],OLLv2: IFEval,own,0.5039,Gemma,Gemma 1,7.0,2024-04
Gemma 1.1 7B IT [Instruction-tuned (IT)],OLLv2: MMLU-PRO,own,0.17600000000000002,Gemma,Gemma 1,7.0,2024-04
Gemma 1.1 7B IT [Instruction-tuned (IT)],OLLv2: MUSR,own,0.1151,Gemma,Gemma 1,7.0,2024-04
Gemma 1.1 7B IT [Instruction-tuned (IT)],Winogrande,epoch,0.39379999999999993,Gemma,Gemma 1,7.0,2024-04
Gemma 2 27B IT [Instruction-tuned (IT)],LiveBench-0831,own,0.3958,Gemma,Gemma 2,27.0,2024-06
Gemma 2 27B IT [Instruction-tuned (IT)],LiveBench-20240624,own,0.4122,Gemma,Gemma 2,27.0,2024-06
Gemma 2 27B IT [Instruction-tuned (IT)],LiveBench-20241125,own,0.3818,Gemma,Gemma 2,27.0,2024-06
Gemma 2 27B IT [Instruction-tuned (IT)],MATH level 5,epoch,0.23870000000000002,Gemma,Gemma 2,27.0,2024-06
Gemma 2 27B IT [Instruction-tuned (IT)],OLLv2: BBH,own,0.4927,Gemma,Gemma 2,27.0,2024-06
Gemma 2 27B IT [Instruction-tuned (IT)],OLLv2: GPQA,own,0.16670000000000001,Gemma,Gemma 2,27.0,2024-06
Gemma 2 27B IT [Instruction-tuned (IT)],OLLv2: IFEval,own,0.7978000000000001,Gemma,Gemma 2,27.0,2024-06
Gemma 2 27B IT [Instruction-tuned (IT)],OLLv2: MMLU-PRO,own,0.3835,Gemma,Gemma 2,27.0,2024-06
Gemma 2 27B IT [Instruction-tuned (IT)],OLLv2: MUSR,own,0.0911,Gemma,Gemma 2,27.0,2024-06
Gemma 2 27B [Pretrained (PT)],ARC AI2,epoch,0.6186666666666668,Gemma,Gemma 2,27.0,2024-06
Gemma 2 27B [Pretrained (PT)],GSM8K,epoch,0.74,Gemma,Gemma 2,27.0,2024-06
Gemma 2 27B [Pretrained (PT)],Gemma::AGIEval,own,0.4013333333333334,Gemma,Gemma 2,27.0,2024-06
Gemma 2 27B [Pretrained (PT)],Gemma::ARC-e,own,0.8479999999999999,Gemma,Gemma 2,27.0,2024-06
Gemma 2 27B [Pretrained (PT)],Gemma::BIG-Bench (BB),own,0.7490000000000001,Gemma,Gemma 2,27.0,2024-06
Gemma 2 27B [Pretrained (PT)],Gemma::BoolQ,own,0.696,Gemma,Gemma 2,27.0,2024-06
Gemma 2 27B [Pretrained (PT)],Gemma::DROP,own,0.722,Gemma,Gemma 2,27.0,2024-06
Gemma 2 27B [Pretrained (PT)],Gemma::HumanEval (PT/IT 0-shot),own,0.518,Gemma,Gemma 2,27.0,2024-06
Gemma 2 27B [Pretrained (PT)],Gemma::MATH,own,0.423,Gemma,Gemma 2,27.0,2024-06
Gemma 2 27B [Pretrained (PT)],Gemma::MBPP,own,0.626,Gemma,Gemma 2,27.0,2024-06
Gemma 2 27B [Pretrained (PT)],Gemma::Natural Questions,own,0.345,Gemma,Gemma 2,27.0,2024-06
Gemma 2 27B [Pretrained (PT)],Gemma::SocialIQA,own,0.30550000000000005,Gemma,Gemma 2,27.0,2024-06
Gemma 2 27B [Pretrained (PT)],HellaSwag,epoch,0.8186666666666668,Gemma,Gemma 2,27.0,2024-06
Gemma 2 27B [Pretrained (PT)],MATH level 5,epoch,0.16620000000000001,Gemma,Gemma 2,27.0,2024-06
Gemma 2 27B [Pretrained (PT)],MMLU,epoch,0.6693333333333333,Gemma,Gemma 2,27.0,2024-06
Gemma 2 27B [Pretrained (PT)],OLLv2: BBH,own,0.3739,Gemma,Gemma 2,27.0,2024-06
Gemma 2 27B [Pretrained (PT)],OLLv2: GPQA,own,0.13419999999999999,Gemma,Gemma 2,27.0,2024-06
Gemma 2 27B [Pretrained (PT)],OLLv2: IFEval,own,0.2475,Gemma,Gemma 2,27.0,2024-06
Gemma 2 27B [Pretrained (PT)],OLLv2: MMLU-PRO,own,0.37450000000000006,Gemma,Gemma 2,27.0,2024-06
Gemma 2 27B [Pretrained (PT)],OLLv2: MUSR,own,0.1392,Gemma,Gemma 2,27.0,2024-06
Gemma 2 27B [Pretrained (PT)],PIQA,epoch,0.6640000000000001,Gemma,Gemma 2,27.0,2024-06
Gemma 2 27B [Pretrained (PT)],TriviaQA,epoch,0.8370000000000001,Gemma,Gemma 2,27.0,2024-06
Gemma 2 27B [Pretrained (PT)],Winogrande,epoch,0.6740000000000002,Gemma,Gemma 2,27.0,2024-06
Gemma 2 2B IT [Instruction-tuned (IT)],MATH level 5,epoch,0.0008,Gemma,Gemma 2,2.0,2024-07
Gemma 2 2B IT [Instruction-tuned (IT)],OLLv2: BBH,own,0.17980000000000002,Gemma,Gemma 2,2.0,2024-07
Gemma 2 2B IT [Instruction-tuned (IT)],OLLv2: GPQA,own,0.032400000000000005,Gemma,Gemma 2,2.0,2024-07
Gemma 2 2B IT [Instruction-tuned (IT)],OLLv2: IFEval,own,0.5668,Gemma,Gemma 2,2.0,2024-07
Gemma 2 2B IT [Instruction-tuned (IT)],OLLv2: MMLU-PRO,own,0.1722,Gemma,Gemma 2,2.0,2024-07
Gemma 2 2B IT [Instruction-tuned (IT)],OLLv2: MUSR,own,0.0708,Gemma,Gemma 2,2.0,2024-07
Gemma 2 2B [Pretrained (PT)],ARC AI2,epoch,0.40533333333333327,Gemma,Gemma 2,2.0,2024-07
Gemma 2 2B [Pretrained (PT)],GSM8K,epoch,0.239,Gemma,Gemma 2,2.0,2024-07
Gemma 2 2B [Pretrained (PT)],Gemma::AGIEval,own,0.07466666666666666,Gemma,Gemma 2,2.0,2024-07
Gemma 2 2B [Pretrained (PT)],Gemma::ARC-e,own,0.7346666666666666,Gemma,Gemma 2,2.0,2024-07
Gemma 2 2B [Pretrained (PT)],Gemma::BIG-Bench (BB),own,0.419,Gemma,Gemma 2,2.0,2024-07
Gemma 2 2B [Pretrained (PT)],Gemma::BoolQ,own,0.44999999999999996,Gemma,Gemma 2,2.0,2024-07
Gemma 2 2B [Pretrained (PT)],Gemma::DROP,own,0.52,Gemma,Gemma 2,2.0,2024-07
Gemma 2 2B [Pretrained (PT)],Gemma::HumanEval (PT/IT 0-shot),own,0.177,Gemma,Gemma 2,2.0,2024-07
Gemma 2 2B [Pretrained (PT)],Gemma::MATH,own,0.15,Gemma,Gemma 2,2.0,2024-07
Gemma 2 2B [Pretrained (PT)],Gemma::MBPP,own,0.29600000000000004,Gemma,Gemma 2,2.0,2024-07
Gemma 2 2B [Pretrained (PT)],Gemma::Natural Questions,own,0.16699999999999998,Gemma,Gemma 2,2.0,2024-07
Gemma 2 2B [Pretrained (PT)],Gemma::SocialIQA,own,0.2785,Gemma,Gemma 2,2.0,2024-07
Gemma 2 2B [Pretrained (PT)],HellaSwag,epoch,0.64,Gemma,Gemma 2,2.0,2024-07
Gemma 2 2B [Pretrained (PT)],MATH level 5,epoch,0.0287,Gemma,Gemma 2,2.0,2024-07
Gemma 2 2B [Pretrained (PT)],MMLU,epoch,0.3506666666666667,Gemma,Gemma 2,2.0,2024-07
Gemma 2 2B [Pretrained (PT)],OLLv2: BBH,own,0.1176,Gemma,Gemma 2,2.0,2024-07
Gemma 2 2B [Pretrained (PT)],OLLv2: GPQA,own,0.0168,Gemma,Gemma 2,2.0,2024-07
Gemma 2 2B [Pretrained (PT)],OLLv2: IFEval,own,0.1993,Gemma,Gemma 2,2.0,2024-07
Gemma 2 2B [Pretrained (PT)],OLLv2: MMLU-PRO,own,0.1311,Gemma,Gemma 2,2.0,2024-07
Gemma 2 2B [Pretrained (PT)],OLLv2: MUSR,own,0.1143,Gemma,Gemma 2,2.0,2024-07
Gemma 2 2B [Pretrained (PT)],PIQA,epoch,0.556,Gemma,Gemma 2,2.0,2024-07
Gemma 2 2B [Pretrained (PT)],TriviaQA,epoch,0.594,Gemma,Gemma 2,2.0,2024-07
Gemma 2 2B [Pretrained (PT)],Winogrande,epoch,0.41800000000000015,Gemma,Gemma 2,2.0,2024-07
Gemma 2 9B IT [Instruction-tuned (IT)],LiveBench-0831,own,0.306,Gemma,Gemma 2,9.0,2024-06
Gemma 2 9B IT [Instruction-tuned (IT)],LiveBench-20240624,own,0.3157,Gemma,Gemma 2,9.0,2024-06
Gemma 2 9B IT [Instruction-tuned (IT)],LiveBench-20241125,own,0.2866,Gemma,Gemma 2,9.0,2024-06
Gemma 2 9B IT [Instruction-tuned (IT)],MATH level 5,epoch,0.1949,Gemma,Gemma 2,9.0,2024-06
Gemma 2 9B IT [Instruction-tuned (IT)],OLLv2: BBH,own,0.4214,Gemma,Gemma 2,9.0,2024-06
Gemma 2 9B IT [Instruction-tuned (IT)],OLLv2: GPQA,own,0.1477,Gemma,Gemma 2,9.0,2024-06
Gemma 2 9B IT [Instruction-tuned (IT)],OLLv2: IFEval,own,0.7436,Gemma,Gemma 2,9.0,2024-06
Gemma 2 9B IT [Instruction-tuned (IT)],OLLv2: MMLU-PRO,own,0.3195,Gemma,Gemma 2,9.0,2024-06
Gemma 2 9B IT [Instruction-tuned (IT)],OLLv2: MUSR,own,0.0974,Gemma,Gemma 2,9.0,2024-06
Gemma 2 9B [Pretrained (PT)],ARC AI2,epoch,0.5786666666666668,Gemma,Gemma 2,9.0,2024-06
Gemma 2 9B [Pretrained (PT)],GSM8K,epoch,0.6859999999999999,Gemma,Gemma 2,9.0,2024-06
Gemma 2 9B [Pretrained (PT)],Gemma::AGIEval,own,0.3706666666666667,Gemma,Gemma 2,9.0,2024-06
Gemma 2 9B [Pretrained (PT)],Gemma::ARC-e,own,0.84,Gemma,Gemma 2,9.0,2024-06
Gemma 2 9B [Pretrained (PT)],Gemma::BIG-Bench (BB),own,0.682,Gemma,Gemma 2,9.0,2024-06
Gemma 2 9B [Pretrained (PT)],Gemma::BoolQ,own,0.6840000000000002,Gemma,Gemma 2,9.0,2024-06
Gemma 2 9B [Pretrained (PT)],Gemma::DROP,own,0.6940000000000001,Gemma,Gemma 2,9.0,2024-06
Gemma 2 9B [Pretrained (PT)],Gemma::HumanEval (PT/IT 0-shot),own,0.402,Gemma,Gemma 2,9.0,2024-06
Gemma 2 9B [Pretrained (PT)],Gemma::MATH,own,0.366,Gemma,Gemma 2,9.0,2024-06
Gemma 2 9B [Pretrained (PT)],Gemma::MBPP,own,0.524,Gemma,Gemma 2,9.0,2024-06
Gemma 2 9B [Pretrained (PT)],Gemma::Natural Questions,own,0.292,Gemma,Gemma 2,9.0,2024-06
Gemma 2 9B [Pretrained (PT)],Gemma::SocialIQA,own,0.30100000000000005,Gemma,Gemma 2,9.0,2024-06
Gemma 2 9B [Pretrained (PT)],HellaSwag,epoch,0.7586666666666667,Gemma,Gemma 2,9.0,2024-06
Gemma 2 9B [Pretrained (PT)],MATH level 5,epoch,0.1344,Gemma,Gemma 2,9.0,2024-06
Gemma 2 9B [Pretrained (PT)],MMLU,epoch,0.6173333333333333,Gemma,Gemma 2,9.0,2024-06
Gemma 2 9B [Pretrained (PT)],OLLv2: BBH,own,0.341,Gemma,Gemma 2,9.0,2024-06
Gemma 2 9B [Pretrained (PT)],OLLv2: GPQA,own,0.1051,Gemma,Gemma 2,9.0,2024-06
Gemma 2 9B [Pretrained (PT)],OLLv2: IFEval,own,0.204,Gemma,Gemma 2,9.0,2024-06
Gemma 2 9B [Pretrained (PT)],OLLv2: MMLU-PRO,own,0.3448,Gemma,Gemma 2,9.0,2024-06
Gemma 2 9B [Pretrained (PT)],OLLv2: MUSR,own,0.14300000000000002,Gemma,Gemma 2,9.0,2024-06
Gemma 2 9B [Pretrained (PT)],PIQA,epoch,0.6340000000000001,Gemma,Gemma 2,9.0,2024-06
Gemma 2 9B [Pretrained (PT)],TriviaQA,epoch,0.7659999999999999,Gemma,Gemma 2,9.0,2024-06
Gemma 2 9B [Pretrained (PT)],Winogrande,epoch,0.6119999999999999,Gemma,Gemma 2,9.0,2024-06
Gemma 2B IT [Instruction-tuned (IT)],ARC AI2,epoch,0.2525333333333333,Gemma,Gemma 1,2.0,2024-02
Gemma 2B IT [Instruction-tuned (IT)],GSM8K,epoch,0.0546,Gemma,Gemma 1,2.0,2024-02
Gemma 2B IT [Instruction-tuned (IT)],Gemma::Human-pref win rate vs Mistral-7B-Instruct-v0.2,own,0.601,Gemma,Gemma 1,2.0,2024-02
Gemma 2B IT [Instruction-tuned (IT)],HellaSwag,epoch,0.5026666666666667,Gemma,Gemma 1,2.0,2024-02
Gemma 2B IT [Instruction-tuned (IT)],MATH level 5,epoch,0.0204,Gemma,Gemma 1,2.0,2024-02
Gemma 2B IT [Instruction-tuned (IT)],MMLU,epoch,0.16866666666666666,Gemma,Gemma 1,2.0,2024-02
Gemma 2B IT [Instruction-tuned (IT)],OLLv1: TruthfulQA,own,0.4582,Gemma,Gemma 1,2.0,2024-02
Gemma 2B IT [Instruction-tuned (IT)],OLLv2: BBH,own,0.0521,Gemma,Gemma 1,2.0,2024-02
Gemma 2B IT [Instruction-tuned (IT)],OLLv2: GPQA,own,0.038,Gemma,Gemma 1,2.0,2024-02
Gemma 2B IT [Instruction-tuned (IT)],OLLv2: IFEval,own,0.26899999999999996,Gemma,Gemma 1,2.0,2024-02
Gemma 2B IT [Instruction-tuned (IT)],OLLv2: MMLU-PRO,own,0.0392,Gemma,Gemma 1,2.0,2024-02
Gemma 2B IT [Instruction-tuned (IT)],OLLv2: MUSR,own,0.030299999999999997,Gemma,Gemma 1,2.0,2024-02
Gemma 2B IT [Instruction-tuned (IT)],Winogrande,epoch,0.2185999999999999,Gemma,Gemma 1,2.0,2024-02
Gemma 2B [Pretrained (PT)],ARC AI2,epoch,0.31173333333333336,Gemma,Gemma 1,2.0,2024-02
Gemma 2B [Pretrained (PT)],GSM8K,epoch,0.177,Gemma,Gemma 1,2.0,2024-02
Gemma 2B [Pretrained (PT)],Gemma::ARC-e,own,0.6426666666666666,Gemma,Gemma 1,2.0,2024-02
Gemma 2B [Pretrained (PT)],Gemma::BIG-Bench (BB),own,0.35200000000000004,Gemma,Gemma 1,2.0,2024-02
Gemma 2B [Pretrained (PT)],Gemma::BoolQ,own,0.3880000000000001,Gemma,Gemma 1,2.0,2024-02
Gemma 2B [Pretrained (PT)],Gemma::CommonsenseQA,own,0.56625,Gemma,Gemma 1,2.0,2024-02
Gemma 2B [Pretrained (PT)],Gemma::HumanEval (PT/IT 0-shot),own,0.22,Gemma,Gemma 1,2.0,2024-02
Gemma 2B [Pretrained (PT)],Gemma::MATH,own,0.11800000000000001,Gemma,Gemma 1,2.0,2024-02
Gemma 2B [Pretrained (PT)],Gemma::MBPP,own,0.292,Gemma,Gemma 1,2.0,2024-02
Gemma 2B [Pretrained (PT)],Gemma::Natural Questions,own,0.125,Gemma,Gemma 1,2.0,2024-02
Gemma 2B [Pretrained (PT)],Gemma::SocialIQA,own,0.24550000000000008,Gemma,Gemma 1,2.0,2024-02
Gemma 2B [Pretrained (PT)],HellaSwag,epoch,0.6236,Gemma,Gemma 1,2.0,2024-02
Gemma 2B [Pretrained (PT)],MATH level 5,epoch,0.0302,Gemma,Gemma 1,2.0,2024-02
Gemma 2B [Pretrained (PT)],MMLU,epoch,0.23066666666666666,Gemma,Gemma 1,2.0,2024-02
Gemma 2B [Pretrained (PT)],OLLv1: TruthfulQA,own,0.3308,Gemma,Gemma 1,2.0,2024-02
Gemma 2B [Pretrained (PT)],OLLv2: BBH,own,0.0825,Gemma,Gemma 1,2.0,2024-02
Gemma 2B [Pretrained (PT)],OLLv2: GPQA,own,0.0067,Gemma,Gemma 1,2.0,2024-02
Gemma 2B [Pretrained (PT)],OLLv2: IFEval,own,0.20379999999999998,Gemma,Gemma 1,2.0,2024-02
Gemma 2B [Pretrained (PT)],OLLv2: MMLU-PRO,own,0.0406,Gemma,Gemma 1,2.0,2024-02
Gemma 2B [Pretrained (PT)],OLLv2: MUSR,own,0.0756,Gemma,Gemma 1,2.0,2024-02
Gemma 2B [Pretrained (PT)],OpenBookQA,epoch,0.304,Gemma,Gemma 1,2.0,2024-02
Gemma 2B [Pretrained (PT)],PIQA,epoch,0.546,Gemma,Gemma 1,2.0,2024-02
Gemma 2B [Pretrained (PT)],TriviaQA,epoch,0.532,Gemma,Gemma 1,2.0,2024-02
Gemma 2B [Pretrained (PT)],Winogrande,epoch,0.32599999999999985,Gemma,Gemma 1,2.0,2024-02
